round,split,overall_relative_fourvector_rmse,E_rmse_gev,px_rmse_gev,py_rmse_gev,pz_rmse_gev
1330,validation_focus,0.21476346857689885,20.40869707251123,5.181596068801142,5.21304698937031,19.13643653848687
1365,train_focus,0.18306701843892473,17.67947035477371,5.996819749107029,5.847862615597343,16.55976214356059
1365,validation_focus,0.21476294674575733,20.40869707251123,5.1811785254115215,5.2128515399809405,19.13647995631761
1400,train_focus,0.18306572135167765,17.67947035477371,5.996320227040328,5.84738653819851,16.55987907981353
1400,validation_focus,0.21476222131499131,20.40869707251123,5.1807679962174955,5.212531517156699,19.136571268872462
1435,train_focus,0.18306446405861448,17.67947035477371,5.995863457348171,5.846979608685365,16.559976386208106
1435,validation_focus,0.21476201657650318,20.40869707251123,5.180587335989821,5.212413978259923,19.13659970443905
1470,train_focus,0.18306330910479268,17.67947035477371,5.995439654555817,5.8465593498921695,16.56006887859566
1470,validation_focus,0.21476172238515848,20.40869707251123,5.18033650003055,5.212137071940109,19.136669837033654
1505,train_focus,0.18306210136611714,17.67947035477371,5.995012404468115,5.846037090400751,16.56018192187214
1505,validation_focus,0.2147616354244702,20.40869707251123,5.180175421042626,5.212126033277328,19.136694827867174
1540,train_focus,0.18306092170762286,17.67947035477371,5.994563119710514,5.845666200242306,16.56026569487935
1540,validation_focus,0.21476137544749713,20.40869707251123,5.180121322668574,5.211890660527089,19.136694013484206
1575,train_focus,0.18305996794942586,17.67947035477371,5.994160316708307,5.845305025857621,16.56035038619533
1575,validation_focus,0.21476107627861116,20.40869707251123,5.180158370273214,5.211707216682734,19.13668247406766
1610,train_focus,0.18305874688031526,17.67947035477371,5.993770269583037,5.844920715691893,16.560423328400027
1610,validation_focus,0.21476059049651536,20.40869707251123,5.1799666151526855,5.21152292483951,19.136693220194015
1645,train_focus,0.18305768987748883,17.67947035477371,5.993423910005379,5.84448347027994,16.56052089405482
1645,validation_focus,0.21476029403354832,20.40869707251123,5.180037150264105,5.211018733456088,19.136769710080085
1680,train_focus,0.18305664205962807,17.67947035477371,5.99311012134475,5.84405819363247,16.5606138243985
1680,validation_focus,0.2147600074154135,20.40869707251123,5.17999488647008,5.210834027634009,19.136801323512486
1715,train_focus,0.1830556729854351,17.67947035477371,5.992793134821843,5.843651627761565,16.560690565344608
1715,validation_focus,0.21475980432581204,20.40869707251123,5.179821942060251,5.210769510605733,19.1368184930481
1750,train_focus,0.18305467049168633,17.67947035477371,5.992452361798488,5.843255613075953,16.560782837069453
1750,validation_focus,0.21475962800095047,20.40869707251123,5.179681882233002,5.210667662530976,19.13684746586638
1785,train_focus,0.18305366349282762,17.67947035477371,5.992124773009852,5.842938180243803,16.560844839665386
1785,validation_focus,0.21475928729629254,20.40869707251123,5.179580374022868,5.210419410721234,19.136887901562762
1820,train_focus,0.18305276370198112,17.67947035477371,5.991839653061571,5.842534744729754,16.560934682115775
1820,validation_focus,0.21475916121721075,20.40869707251123,5.179541062204689,5.210191924172526,19.136941676087453
1855,train_focus,0.18305179782211856,17.67947035477371,5.991567450674998,5.842214374308718,16.560991033998036
1855,validation_focus,0.21475932755003158,20.40869707251123,5.179523485354594,5.210349260518646,19.136909624649043
1890,train_focus,0.18305087702408326,17.67947035477371,5.991220649904158,5.841864270308869,16.561073944962857
1890,validation_focus,0.21475902946815123,20.40869707251123,5.179304070369575,5.210213091026687,19.13692412019864
1925,train_focus,0.18305005488409667,17.67947035477371,5.9910264722869915,5.841633022328922,16.5611053518224
1925,validation_focus,0.21475887820873613,20.40869707251123,5.179320353254728,5.210020360436449,19.136940098996806
1960,train_focus,0.18304923960440606,17.67947035477371,5.99069398593273,5.841185221615589,16.56121897628219
1960,validation_focus,0.21475867955709543,20.40869707251123,5.1792430801009,5.209745510953608,19.136992823909083
1995,train_focus,0.183048367161102,17.67947035477371,5.990403208689316,5.840905394774013,16.56127754112804
1995,validation_focus,0.21475835072210964,20.40869707251123,5.179046777372331,5.2095761344385565,19.13703277905325
2030,train_focus,0.18304752676049452,17.67947035477371,5.990111645979121,5.840829302269393,16.56129594939608
2030,validation_focus,0.21475832158576016,20.40869707251123,5.179011931258675,5.209510990785717,19.13704696643705
2065,train_focus,0.1830467019260282,17.67947035477371,5.98979102392726,5.840570600550652,16.561354219333765
2065,validation_focus,0.21475824217478412,20.40869707251123,5.178865054804178,5.209366085170332,19.137088961268248
2100,train_focus,0.18304600469382795,17.67947035477371,5.989561029545867,5.840195318642452,16.561441487053294
2100,validation_focus,0.2147580722376551,20.40869707251123,5.17884600525888,5.209095411920867,19.137136723271578
2135,train_focus,0.1830452558093016,17.67947035477371,5.989250767143283,5.840039058416062,16.561483305954763
2135,validation_focus,0.21475793260585038,20.40869707251123,5.178583613208518,5.209034093269053,19.137183642262386
2170,train_focus,0.18304448336187712,17.67947035477371,5.989038162667083,5.839759646967834,16.56154637010284
2170,validation_focus,0.21475781221196658,20.40869707251123,5.178586472277239,5.20884618608363,19.137207943284572
2205,train_focus,0.1830437049538814,17.67947035477371,5.988783437971783,5.839513157865583,16.561595126149587
2205,validation_focus,0.21475778816504587,20.40869707251123,5.178534760494413,5.208670787979413,19.137269819005148
2240,train_focus,0.18304292729335828,17.67947035477371,5.988451142091857,5.83926506732424,16.561660761368636
2240,validation_focus,0.2147576372945919,20.40869707251123,5.178342949591026,5.208543113688902,19.137332145568216
2275,train_focus,0.1830420941159439,17.67947035477371,5.988217178335825,5.838942235677562,16.561720971538666
2275,validation_focus,0.2147574480681177,20.40869707251123,5.1782838814921694,5.2084435807399965,19.137344118774152
2310,train_focus,0.1830414189215307,17.67947035477371,5.987955635633495,5.838809276617854,16.56175242376672
2310,validation_focus,0.2147573546502117,20.40869707251123,5.178273208373929,5.208500107737334,19.13732071525993
2345,train_focus,0.18304074959755567,17.67947035477371,5.987744052103296,5.838542798134104,16.56180581590143
2345,validation_focus,0.21475725365736262,20.40869707251123,5.178198936142707,5.2084434659652405,19.13734195745822
2380,train_focus,0.1830400898250982,17.67947035477371,5.987518213450404,5.838255525222222,16.561869769992995
2380,validation_focus,0.21475712434943592,20.40869707251123,5.178100832140906,5.208270150126933,19.137397428128534
2415,train_focus,0.18303926659216466,17.67947035477371,5.987337053734159,5.838034513427022,16.56190468161287
2415,validation_focus,0.21475713189787313,20.40869707251123,5.178124329583103,5.208138764689532,19.13740866214089
2450,train_focus,0.18303857796702713,17.67947035477371,5.9871208244596135,5.837869465514603,16.561925111264934
2450,validation_focus,0.21475703081435152,20.40869707251123,5.178097949883763,5.208032980449753,19.13742843883489
2485,train_focus,0.1830379281117949,17.67947035477371,5.986822180510745,5.837567449420964,16.562017169259565
2485,validation_focus,0.2147568608734941,20.40869707251123,5.178013152817395,5.207946759723597,19.137461069564576
2494,train_focus,0.18303775393195224,17.67947035477371,5.986800125409635,5.837519334612816,16.56202179526534
2494,validation_focus,0.21475680855299228,20.40869707251123,5.17798981946731,5.2079287528416085,19.137466038187423
2499,train_focus,0.1830376650866606,17.67947035477371,5.986772466219856,5.837493110946462,16.562025644366027
2499,validation_focus,0.2147567798081715,20.40869707251123,5.177989169890205,5.20788450849503,19.137473263039553
2500,train_focus,0.183037639129992,17.67947035477371,5.986772540722363,5.837498299575564,16.562020831480673
2500,validation_focus,0.21475679735643646,20.40869707251123,5.1779977811815305,5.2079000606508785,19.137468537524732
