round,target,split,rmse,weighted_rmse,effective_target_round
1365,ux,train_focus,0.02880447579610946,0.02880649195138278,1365
1365,ux,validation_focus,0.010054523451650416,,1365
1365,uy,train_focus,0.02639234795411982,0.026395170217038435,1365
1365,uy,validation_focus,0.009613865161381721,,1365
1365,uz,train_focus,0.0027976105053079165,0.002798432481313532,1365
1365,uz,validation_focus,0.0026260469641113007,,1365
1400,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1400,log1p_kinetic,validation_focus,0.1501105808290273,,997
1400,ux,train_focus,0.02880060550578357,0.02880261551489267,1400
1400,ux,validation_focus,0.010048683974942645,,1400
1400,uy,train_focus,0.026388249250212412,0.026391063626810568,1400
1400,uy,validation_focus,0.009606258320758536,,1400
1400,uz,train_focus,0.002790193598772441,0.002791009189632621,1400
1400,uz,validation_focus,0.002621296216824254,,1400
1435,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1435,log1p_kinetic,validation_focus,0.1501105808290273,,997
1435,ux,train_focus,0.028796560704410352,0.028798560586741462,1435
1435,ux,validation_focus,0.010046143527726295,,1435
1435,uy,train_focus,0.02638449732451401,0.02638730496107806,1435
1435,uy,validation_focus,0.009603632385960442,,1435
1435,uz,train_focus,0.0027822084218366134,0.0027830160534541367,1435
1435,uz,validation_focus,0.002615387132312635,,1435
1470,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1470,log1p_kinetic,validation_focus,0.1501105808290273,,997
1470,ux,train_focus,0.02879352518750373,0.028795520784285496,1470
1470,ux,validation_focus,0.010043799994517039,,1470
1470,uy,train_focus,0.026380329456823948,0.0263831287825508,1470
1470,uy,validation_focus,0.00959904609655369,,1470
1470,uz,train_focus,0.002775041026133334,0.00277584164274873,1470
1470,uz,validation_focus,0.002611123924285205,,1470
1505,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1505,log1p_kinetic,validation_focus,0.1501105808290273,,997
1505,ux,train_focus,0.028789934715669752,0.028791924453409567,1505
1505,ux,validation_focus,0.010041455670053764,,1505
1505,uy,train_focus,0.026376165112182434,0.02637895698474714,1505
1505,uy,validation_focus,0.009599468400366745,,1505
1505,uz,train_focus,0.0027675304465744075,0.002768324066491478,1505
1505,uz,validation_focus,0.0026057935482658528,,1505
1540,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1540,log1p_kinetic,validation_focus,0.1501105808290273,,997
1540,ux,train_focus,0.02878623540878489,0.02878821826930335,1540
1540,ux,validation_focus,0.010038511629127365,,1540
1540,uy,train_focus,0.026372540537803992,0.026375325796062818,1540
1540,uy,validation_focus,0.009595151635238457,,1540
1540,uz,train_focus,0.0027607390689565014,0.002761526132177987,1540
1540,uz,validation_focus,0.002601675175458772,,1540
1575,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1575,log1p_kinetic,validation_focus,0.1501105808290273,,997
1575,ux,train_focus,0.028783436914227092,0.028785417405047777,1575
1575,ux,validation_focus,0.010037119463652993,,1575
1575,uy,train_focus,0.026369207139371274,0.026371986250520278,1575
1575,uy,validation_focus,0.009590441732922138,,1575
1575,uz,train_focus,0.0027544238127412426,0.002755205365752344,1575
1575,uz,validation_focus,0.0025979999034917082,,1575
1610,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1610,log1p_kinetic,validation_focus,0.1501105808290273,,997
1610,ux,train_focus,0.02877977101231095,0.028781742210315424,1610
1610,ux,validation_focus,0.010033170872292422,,1610
1610,uy,train_focus,0.026365342403070664,0.026368114766667672,1610
1610,uy,validation_focus,0.009584714247712421,,1610
1610,uz,train_focus,0.0027478825404204906,0.002748658107941605,1610
1610,uz,validation_focus,0.002594202793900537,,1610
1645,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
1645,log1p_kinetic,validation_focus,0.1501105808290273,,997
1645,ux,train_focus,0.02877661481385764,0.028778578393921866,1645
1645,ux,validation_focus,0.010033265950428165,,1645
1645,uy,train_focus,0.026361862888955888,0.026364628629215778,1645
1645,uy,validation_focus,0.009578603414219629,,1645
1645,uz,train_focus,0.002741060657442105,0.002741829123223682,1645
1645,uz,validation_focus,0.0025896418802994533,,1645
1680,log1p_kinetic,train_focus,0.12504363976720517,0.12509054096387728,997
